Date,Investment,Total Balance,Account Type,Notes
12/03/2023,50000.00,50000.00,-,Initial Investment
12/03/2023,10000.00,60000.00,Slush Fund,Initial Investment
12/31/2023,,60969.00,1/4ly Statement,
03/31/2024,,65432.00,1/4ly Statement,
05/15/2024,5000.00,71850.00,RSP,Opened TFSA and RSP
06/15/2024,5000.00,78200.00,RSP,Monthly contribution
07/15/2024,5000.00,84150.00,TFSA,Monthly contribution
08/15/2024,5000.00,89950.00,TFSA,Monthly contribution
09/15/2024,5000.00,95800.00,RSP,Monthly contribution
10/15/2024,5000.00,100041.00,FHSA,Monthly contribution
